ts,equity
1784867004792229009,1e+06
1784867005220432167,1e+06
1784867006121902556,1e+06
1784867006706531742,1e+06
1784867007062247696,1e+06
1784867007062574558,1e+06
1784867007074118309,1e+06
1784867007114640445,1e+06
1784867007134933683,1e+06
1784867007173110444,1e+06
1784867007206457713,1e+06
1784867007287860940,1e+06
1784867007545176863,1e+06
1784867007561713289,1e+06
1784867007629586926,1e+06
1784867007917806656,1e+06
1784867008040994037,1e+06
1784867008074977099,1e+06
1784867008112014408,1e+06
1784867008221582574,1e+06
1784867008910824327,1e+06
1784867013505179431,1e+06
1784867013733809175,1e+06
1784867013949705215,1e+06
1784867013965894876,1e+06
1784867014200397068,1e+06
1784867014253943815,1e+06
1784867014299273094,1e+06
1784867014484281501,1e+06
1784867014605623221,1e+06
1784867015339654164,1e+06
1784867016260617805,1e+06
1784867017080419409,1e+06
1784867017140529921,1e+06
1784867017223244558,1e+06
1784867017590951593,1e+06
1784867017713705743,1e+06
1784867018002891995,1e+06
1784867019026781004,1e+06
1784867019208802315,1e+06
1784867019435839074,1e+06
1784867019437487885,1e+06
1784867019627089770,1e+06
1784867019989786544,1e+06
1784867020492802131,1e+06
1784867022219122048,1e+06
1784867022219727533,1e+06
1784867022220968784,1e+06
1784867022236971292,1e+06
1784867022264510628,1e+06
1784867022275815766,1e+06
1784867022361391308,1e+06
1784867022396337553,1e+06
1784867022421915641,1e+06
1784867022445927732,1e+06
1784867022471921748,1e+06
1784867022487501198,1e+06
1784867022499878398,1e+06
1784867022672735958,1e+06
1784867023047075161,1e+06
1784867023092311250,1e+06
1784867023157710722,1e+06
1784867023367981834,1e+06
1784867023458294831,1e+06
1784867023609525919,1e+06
1784867023691863101,1e+06
1784867024154004814,1e+06
1784867024467017047,1e+06
1784867024964294842,1e+06
1784867025809444522,1e+06
1784867025883331191,1e+06
1784867026008917934,1e+06
1784867026207168517,1e+06
1784867026338221798,1e+06
1784867026357746846,1e+06
1784867026359411062,1e+06
1784867026360018535,1e+06
1784867026394826537,1e+06
1784867026406886762,1e+06
1784867026409246926,1e+06
1784867026489757563,1e+06
1784867026524390045,1e+06
1784867026701126156,1e+06
1784867027055894245,1e+06
1784867027163443275,1e+06
1784867027186217866,1e+06
1784867027230172342,1e+06
1784867027276504690,1e+06
1784867027393349417,1e+06
1784867027598997695,1e+06
1784867028242230628,1e+06
1784867028242681562,1e+06
1784867029191431833,1e+06
1784867029882551417,1e+06
1784867030700522027,1e+06
1784867031512785548,1e+06
1784867031611391674,1e+06
1784867031634780693,1e+06
1784867031652884049,1e+06
1784867031665276762,1e+06
1784867031665747665,1e+06
1784867031687095942,1e+06
1784867031692816057,1e+06
1784867031703148371,1e+06
1784867031704138512,1e+06
1784867031719910966,1e+06
1784867031720774224,1e+06
1784867031740830168,1e+06
1784867031755578692,1e+06
1784867031789391603,1e+06
1784867031827071474,1e+06
1784867031867860457,1e+06
1784867031902622928,1e+06
1784867031973176090,1e+06
1784867032139523327,1e+06
1784867032165102981,1e+06
1784867032183990617,1e+06
1784867032326655403,1e+06
1784867032641930044,1e+06
1784867033044008673,1e+06
1784867033064489594,1e+06
1784867033080095468,1e+06
1784867033097767515,1e+06
1784867033135789744,1e+06
1784867033163209551,1e+06
1784867033192306705,1e+06
1784867033222400848,1e+06
1784867033357714811,1e+06
1784867033634985428,1e+06
1784867033638907890,1e+06
1784867033639567674,1e+06
1784867033646356135,1e+06
1784867033780223095,1e+06
1784867033891072484,1e+06
1784867034005572737,1e+06
1784867034027800681,1e+06
1784867034159974793,1e+06
1784867034588605725,1e+06
1784867034897443558,1e+06
1784867034920327137,1e+06
1784867034987628341,1e+06
1784867035020404543,1e+06
1784867035042996613,1e+06
1784867035056731338,1e+06
1784867035071027241,1e+06
1784867035084242136,1e+06
1784867035090969959,1e+06
1784867035106571072,1e+06
1784867035121499830,1e+06
1784867035122749588,1e+06
1784867035131600236,1e+06
1784867035141658719,1e+06
1784867035152027448,1e+06
1784867035163577482,1e+06
1784867035182389672,1e+06
1784867035191257451,1e+06
1784867035208294325,1e+06
1784867035223784577,1e+06
1784867035291923760,1e+06
1784867035304153734,1e+06
1784867035367474283,1e+06
1784867035411954337,1e+06
1784867035554285961,1e+06
1784867035603381045,1e+06
1784867035759444237,1e+06
1784867035902624901,1e+06
1784867036126644390,1e+06
1784867036442321329,1e+06
1784867036967931514,1e+06
1784867037590505689,1e+06
1784867038301545633,1e+06
1784867038607038873,1e+06
1784867039199483105,1e+06
1784867039520813180,1e+06
1784867040140393360,1e+06
1784867040140748533,1e+06
1784867040186681106,1e+06
1784867040603286963,1e+06
1784867040861155440,1e+06
1784867041021243026,1e+06
1784867041677762341,1e+06
1784867041695247258,1e+06
1784867041701855437,1e+06
1784867041826234286,1e+06
1784867041896343975,1e+06
1784867041969954441,1e+06
1784867042069348004,1e+06
1784867042170936037,1e+06
1784867042265711987,1e+06
1784867042434275190,1e+06
1784867042653342349,1e+06
1784867043065214176,1e+06
1784867043539285196,1e+06
1784867044744662974,1e+06
1784867044793030765,1e+06
1784867044816252657,1e+06
1784867044921455962,1e+06
1784867045162198930,1e+06
1784867045916145903,1e+06
1784867046145837530,1e+06
1784867046198858381,1e+06
1784867046250807484,1e+06
1784867046268817589,1e+06
1784867046295138052,1e+06
1784867046494930223,1e+06
1784867046965771709,1e+06
1784867047193956482,1e+06
1784867048009204490,1e+06
1784867048824988577,1e+06
1784867049101877777,1e+06
1784867049742368043,1e+06
1784867051081844838,1e+06
1784867051758219082,1e+06
1784867051799774799,1e+06
1784867052010296948,1e+06
1784867052171796560,1e+06
1784867052185042352,1e+06
1784867052241142841,1e+06
1784867052952709518,1e+06
1784867053130912812,1e+06
1784867053425716891,1e+06
1784867053700859771,1e+06
1784867054062529453,1e+06
1784867054266216847,1e+06
1784867054839111298,1e+06
1784867055246617909,1e+06
1784867055594166851,1e+06
1784867056014361609,1e+06
1784867056554368089,1e+06
1784867056966580722,1e+06
1784867057323029593,1e+06
1784867057570952055,1e+06
1784867057856027670,1e+06
1784867058240274165,1e+06
1784867058695879554,1e+06
1784867059019750645,1e+06
1784867059100686996,1e+06
1784867059157958685,1e+06
1784867059275762505,1e+06
1784867059821291894,1e+06
1784867061534532702,1e+06
1784867061718779005,1e+06
1784867061744761166,1e+06
1784867061774909040,1e+06
1784867061799297333,1e+06
1784867061823494104,1e+06
1784867061849882911,1e+06
1784867061862675379,1e+06
1784867061926634652,1e+06
1784867061962660824,1e+06
1784867061981332452,1e+06
1784867061992529015,1e+06
1784867062018913362,1e+06
1784867062057638763,1e+06
1784867062075318578,1e+06
1784867062099517735,1e+06
1784867062210200004,1e+06
1784867062277748216,1e+06
1784867062407027453,1e+06
1784867062486904176,1e+06
1784867062487246875,1e+06
1784867062500275876,1e+06
1784867062524171458,1e+06
1784867062573601726,1e+06
1784867062689649141,1e+06
1784867062944603132,1e+06
1784867063059598210,1e+06
1784867063163233671,1e+06
1784867063274589042,1e+06
1784867063311805035,1e+06
1784867063344691212,1e+06
1784867063582646025,1e+06
1784867063705750877,1e+06
1784867063722007724,1e+06
1784867063765772462,1e+06
1784867063836585094,1e+06
1784867063838185633,1e+06
1784867063838334990,1e+06
1784867063852338726,1e+06
1784867063857879999,999999
1784867063925004276,999999
1784867064021013635,1e+06
1784867064078103509,1e+06
1784867064331214073,1e+06
1784867064925866076,1e+06
1784867065456302921,1e+06
1784867065858744568,1e+06
1784867066374157232,1e+06
